,batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
189,8,1500,selu,0.15,adamax,-0.21030907976395366
388,32,1500,softplus,0.15,adam,-0.21038388900775606
357,32,1500,selu,0.25,adamax,-0.21040116211636323
297,16,1500,elu,0.25,adamax,-0.21040373116666028
177,8,1500,relu,0.25,adamax,-0.21070924721338674
57,2,1500,elu,0.25,adamax,-0.2107283927706874
274,16,1500,selu,0.2,rmsprop,-0.210924323604719
49,2,1500,elu,0.15,adamax,-0.2109342870758763
298,16,1500,elu,0.25,rmsprop,-0.21094097848782392
53,2,1500,elu,0.2,adamax,-0.21098667653460615
208,8,1500,elu,0.15,adam,-0.2110406905823214
250,16,1500,relu,0.15,rmsprop,-0.21109431502438047
350,32,1500,selu,0.15,rmsprop,-0.21111090802220736
54,2,1500,elu,0.2,rmsprop,-0.21120140875143312
185,8,1500,selu,0.1,adamax,-0.2112436015483416
204,8,1500,elu,0.1,adam,-0.21127647540153877
279,16,1500,selu,0.25,sgd,-0.2112783980479474
58,2,1500,elu,0.25,rmsprop,-0.21154861236478234
45,2,1500,elu,0.1,adamax,-0.21159693930917792
277,16,1500,selu,0.25,adamax,-0.21167951246895225
197,8,1500,selu,0.25,adamax,-0.21185814044246942
216,8,1500,elu,0.25,adam,-0.21189819270774934
50,2,1500,elu,0.15,rmsprop,-0.21195604551684666
369,32,1500,elu,0.15,adamax,-0.21214066043375304
302,16,1500,softplus,0.05,rmsprop,-0.21218946923227489
96,4,1500,relu,0.25,adam,-0.21235726525746224
62,2,1500,softplus,0.05,rmsprop,-0.21276272969190235
228,8,1500,softplus,0.15,adam,-0.2128546378762417
42,2,1500,elu,0.05,rmsprop,-0.212983400585886
300,16,1500,softplus,0.05,adam,-0.21313161316675142
289,16,1500,elu,0.15,adamax,-0.2135742966193019
266,16,1500,selu,0.1,rmsprop,-0.21363834849231772
373,32,1500,elu,0.2,adamax,-0.21373389389598366
221,8,1500,softplus,0.05,adamax,-0.21373943820657187
183,8,1500,selu,0.05,sgd,-0.2137939047157437
293,16,1500,elu,0.2,adamax,-0.2150949059529379
382,32,1500,softplus,0.05,rmsprop,-0.21526531775023638
165,8,1500,relu,0.1,adamax,-0.2153850497120534
59,2,1500,elu,0.25,sgd,-0.2155338338744322
11,2,1500,relu,0.15,sgd,-0.2156576772825579
265,16,1500,selu,0.1,adamax,-0.21569395924097634
377,32,1500,elu,0.25,adamax,-0.21572147748971512
263,16,1500,selu,0.05,sgd,-0.2160451284206194
128,4,1500,elu,0.15,adam,-0.2161067204709267
275,16,1500,selu,0.2,sgd,-0.21622705734738196
380,32,1500,softplus,0.05,adam,-0.21623829615913281
301,16,1500,softplus,0.05,adamax,-0.2162584072992165
13,2,1500,relu,0.2,adamax,-0.21662472625696738
149,4,1500,softplus,0.15,adamax,-0.21665358412779362
169,8,1500,relu,0.15,adamax,-0.21685292326472896
305,16,1500,softplus,0.1,adamax,-0.21688303323031322
46,2,1500,elu,0.1,rmsprop,-0.21762875055645664
267,16,1500,selu,0.1,sgd,-0.21814862510639305
264,16,1500,selu,0.1,adam,-0.21831949477438545
120,4,1500,elu,0.05,adam,-0.21835037239606186
136,4,1500,elu,0.25,adam,-0.218522005400426
109,4,1500,selu,0.15,adamax,-0.21885304025182822
61,2,1500,softplus,0.05,adamax,-0.21889929557536164
124,4,1500,elu,0.1,adam,-0.219118266522815
308,16,1500,softplus,0.15,adam,-0.21914900697779474
144,4,1500,softplus,0.1,adam,-0.21917538897560962
352,32,1500,selu,0.2,adam,-0.21947422326487953
178,8,1500,relu,0.25,rmsprop,-0.22063051133776024
276,16,1500,selu,0.25,adam,-0.2208952283038318
257,16,1500,relu,0.25,adamax,-0.2209657402291757
271,16,1500,selu,0.15,sgd,-0.2210561502519704
340,32,1500,selu,0.05,adam,-0.22121289549676998
224,8,1500,softplus,0.1,adam,-0.22124754177094252
142,4,1500,softplus,0.05,rmsprop,-0.22127909699852388
330,32,1500,relu,0.15,rmsprop,-0.22133357300259948
309,16,1500,softplus,0.15,adamax,-0.22186062731129358
182,8,1500,selu,0.05,rmsprop,-0.22187197506545436
272,16,1500,selu,0.2,adam,-0.22228719059224938
166,8,1500,relu,0.1,rmsprop,-0.2223258547674038
220,8,1500,softplus,0.05,adam,-0.2227629217926634
66,2,1500,softplus,0.1,rmsprop,-0.22277068783979664
326,32,1500,relu,0.1,rmsprop,-0.2228523645484763
86,4,1500,relu,0.1,rmsprop,-0.22309196096044492
68,2,1500,softplus,0.15,adam,-0.22328348630828082
65,2,1500,softplus,0.1,adamax,-0.2233370516127131
145,4,1500,softplus,0.1,adamax,-0.22337483555045026
338,32,1500,relu,0.25,rmsprop,-0.22347847835247703
246,16,1500,relu,0.1,rmsprop,-0.2234858193322774
150,4,1500,softplus,0.15,rmsprop,-0.22356433983191118
146,4,1500,softplus,0.1,rmsprop,-0.22412990470567823
69,2,1500,softplus,0.15,adamax,-0.22416024035345408
64,2,1500,softplus,0.1,adam,-0.22418908213711897
70,2,1500,softplus,0.15,rmsprop,-0.22429609107295942
230,8,1500,softplus,0.15,rmsprop,-0.22528204722863954
113,4,1500,selu,0.2,adamax,-0.22539724049168336
396,32,1500,softplus,0.25,adam,-0.2254413150260379
226,8,1500,softplus,0.1,rmsprop,-0.22544517206764106
249,16,1500,relu,0.15,adamax,-0.22566130007520435
17,2,1500,relu,0.25,adamax,-0.22568176359506903
381,32,1500,softplus,0.05,adamax,-0.22595100035419996
312,16,1500,softplus,0.2,adam,-0.22607083065755113
74,2,1500,softplus,0.2,rmsprop,-0.22622588724590678
73,2,1500,softplus,0.2,adamax,-0.22664996185779857
154,4,1500,softplus,0.2,rmsprop,-0.22687150898382397
60,2,1500,softplus,0.05,adam,-0.22694222462921892
152,4,1500,softplus,0.2,adam,-0.22707183465788117
72,2,1500,softplus,0.2,adam,-0.2271473989636857
98,4,1500,relu,0.25,rmsprop,-0.22722713882606663
310,16,1500,softplus,0.15,rmsprop,-0.22762539475186766
181,8,1500,selu,0.05,adamax,-0.22763403369504526
225,8,1500,softplus,0.1,adamax,-0.22772033585746548
234,8,1500,softplus,0.2,rmsprop,-0.22786209315186284
316,16,1500,softplus,0.25,adam,-0.22808944112929597
314,16,1500,softplus,0.2,rmsprop,-0.228522496961152
186,8,1500,selu,0.1,rmsprop,-0.22884415971446045
229,8,1500,softplus,0.15,adamax,-0.229677945422652
306,16,1500,softplus,0.1,rmsprop,-0.22979789690600178
105,4,1500,selu,0.1,adamax,-0.22980824948898523
78,2,1500,softplus,0.25,rmsprop,-0.22986270667946618
260,16,1500,selu,0.05,adam,-0.22997277737245386
198,8,1500,selu,0.25,rmsprop,-0.23007667031639473
343,32,1500,selu,0.05,sgd,-0.23017435113783347
21,2,1500,selu,0.05,adamax,-0.23020412894912617
253,16,1500,relu,0.2,adamax,-0.2306977226091278
384,32,1500,softplus,0.1,adam,-0.2308433164747994
19,2,1500,relu,0.25,sgd,-0.2311565083888829
0,2,1500,relu,0.05,adam,-0.2311974492701142
8,2,1500,relu,0.15,adam,-0.23121077213282903
304,16,1500,softplus,0.1,adam,-0.23182118220626563
132,4,1500,elu,0.2,adam,-0.2320228049355712
347,32,1500,selu,0.1,sgd,-0.23206743596961155
158,4,1500,softplus,0.25,rmsprop,-0.23230119143869332
153,4,1500,softplus,0.2,adamax,-0.23232997919069878
389,32,1500,softplus,0.15,adamax,-0.2325184736088005
101,4,1500,selu,0.05,adamax,-0.2326409253831867
170,8,1500,relu,0.15,rmsprop,-0.23283107301093942
232,8,1500,softplus,0.2,adam,-0.23317994901519679
76,2,1500,softplus,0.25,adam,-0.23330171222916907
359,32,1500,selu,0.25,sgd,-0.2333152203240232
385,32,1500,softplus,0.1,adamax,-0.2333193277007211
77,2,1500,softplus,0.25,adamax,-0.23332728542121622
233,8,1500,softplus,0.2,adamax,-0.23344207195223132
386,32,1500,softplus,0.1,rmsprop,-0.23363416506778703
355,32,1500,selu,0.2,sgd,-0.23373602457435674
351,32,1500,selu,0.15,sgd,-0.2338238839772741
156,4,1500,softplus,0.25,adam,-0.2339696208257677
2,2,1500,relu,0.05,rmsprop,-0.2343201689858132
238,8,1500,softplus,0.25,rmsprop,-0.23483146539121003
117,4,1500,selu,0.25,adamax,-0.23503718477649244
33,2,1500,selu,0.2,adamax,-0.2358319393154229
5,2,1500,relu,0.1,adamax,-0.23631313739766519
393,32,1500,softplus,0.2,adamax,-0.23652431102427765
4,2,1500,relu,0.1,adam,-0.2365819750297839
157,4,1500,softplus,0.25,adamax,-0.23706051768304465
190,8,1500,selu,0.15,rmsprop,-0.23707894057257856
168,8,1500,relu,0.15,adam,-0.23722798540248025
313,16,1500,softplus,0.2,adamax,-0.23774955559095343
194,8,1500,selu,0.2,rmsprop,-0.23788411542922883
7,2,1500,relu,0.1,sgd,-0.23805829112581248
390,32,1500,softplus,0.15,rmsprop,-0.23829777753093553
29,2,1500,selu,0.15,adamax,-0.2383149337474979
329,32,1500,relu,0.15,adamax,-0.23949185156392028
318,16,1500,softplus,0.25,rmsprop,-0.2398098371676327
10,2,1500,relu,0.15,rmsprop,-0.23985438256646327
394,32,1500,softplus,0.2,rmsprop,-0.24098820991215666
110,4,1500,selu,0.15,rmsprop,-0.24245486094136842
3,2,1500,relu,0.05,sgd,-0.2426195879249862
18,2,1500,relu,0.25,rmsprop,-0.24268463012831976
102,4,1500,selu,0.05,rmsprop,-0.24286464776211195
245,16,1500,relu,0.1,adamax,-0.24287628816539555
337,32,1500,relu,0.25,adamax,-0.2438049501035658
12,2,1500,relu,0.2,adam,-0.24382800403854288
333,32,1500,relu,0.2,adamax,-0.24408869450962561
392,32,1500,softplus,0.2,adam,-0.2445175692036942
118,4,1500,selu,0.25,rmsprop,-0.24466595161990473
237,8,1500,softplus,0.25,adamax,-0.2446836767671896
398,32,1500,softplus,0.25,rmsprop,-0.24498327033385944
123,4,1500,elu,0.05,sgd,-0.24573081140258007
336,32,1500,relu,0.25,adam,-0.24648539928765345
397,32,1500,softplus,0.25,adamax,-0.24651830231787158
131,4,1500,elu,0.15,sgd,-0.24667866988016482
108,4,1500,selu,0.15,adam,-0.24689055936892637
14,2,1500,relu,0.2,rmsprop,-0.2471158842394212
127,4,1500,elu,0.1,sgd,-0.2472944045067368
242,16,1500,relu,0.05,rmsprop,-0.2487999319446923
84,4,1500,relu,0.1,adam,-0.2493253827813073
16,2,1500,relu,0.25,adam,-0.24948349090085148
139,4,1500,elu,0.25,sgd,-0.2500385213466243
48,2,1500,elu,0.15,adam,-0.25048087595212165
75,2,1500,softplus,0.2,sgd,-0.25099996741322944
317,16,1500,softplus,0.25,adamax,-0.25106453958724534
192,8,1500,selu,0.2,adam,-0.251816221997915
20,2,1500,selu,0.05,adam,-0.2523534827568802
56,2,1500,elu,0.25,adam,-0.25248011748292876
135,4,1500,elu,0.2,sgd,-0.2525717412866979
203,8,1500,elu,0.05,sgd,-0.25304155121652183
25,2,1500,selu,0.1,adamax,-0.25318261297483347
173,8,1500,relu,0.2,adamax,-0.2542635766157965
219,8,1500,elu,0.25,sgd,-0.2546273184911521
322,32,1500,relu,0.05,rmsprop,-0.2550152552445185
91,4,1500,relu,0.15,sgd,-0.25506537949621116
215,8,1500,elu,0.2,sgd,-0.2555660903606452
395,32,1500,softplus,0.2,sgd,-0.2558567914315539
207,8,1500,elu,0.1,sgd,-0.25602396753905576
38,2,1500,selu,0.25,rmsprop,-0.25610577981323146
399,32,1500,softplus,0.25,sgd,-0.25615194513104783
164,8,1500,relu,0.1,adam,-0.25622510844382135
239,8,1500,softplus,0.25,sgd,-0.25650209404947233
155,4,1500,softplus,0.2,sgd,-0.2565669817645239
307,16,1500,softplus,0.1,sgd,-0.2566588044792195
83,4,1500,relu,0.05,sgd,-0.2568163048717709
387,32,1500,softplus,0.1,sgd,-0.25692682392555
223,8,1500,softplus,0.05,sgd,-0.25693909573299556
211,8,1500,elu,0.15,sgd,-0.25749146882006124
87,4,1500,relu,0.1,sgd,-0.257535430221103
147,4,1500,softplus,0.1,sgd,-0.25757629836364193
383,32,1500,softplus,0.05,sgd,-0.2576073592550753
283,16,1500,elu,0.05,sgd,-0.2579062826622185
95,4,1500,relu,0.2,sgd,-0.25795100059170045
167,8,1500,relu,0.1,sgd,-0.2581239567572642
311,16,1500,softplus,0.15,sgd,-0.2581284249182406
171,8,1500,relu,0.15,sgd,-0.258235610221081
99,4,1500,relu,0.25,sgd,-0.2585126286790677
175,8,1500,relu,0.2,sgd,-0.2585226745473255
143,4,1500,softplus,0.05,sgd,-0.25865791131673255
291,16,1500,elu,0.15,sgd,-0.2586961553780572
163,8,1500,relu,0.05,sgd,-0.2587091227727773
287,16,1500,elu,0.1,sgd,-0.2587695196806392
295,16,1500,elu,0.2,sgd,-0.2588114281799475
299,16,1500,elu,0.25,sgd,-0.2589362779930746
15,2,1500,relu,0.2,sgd,-0.2589844106206936
315,16,1500,softplus,0.2,sgd,-0.2590215009842231
371,32,1500,elu,0.15,sgd,-0.259072585447894
247,16,1500,relu,0.1,sgd,-0.2591426679969354
335,32,1500,relu,0.2,sgd,-0.25932275012190703
159,4,1500,softplus,0.25,sgd,-0.259507774569089
339,32,1500,relu,0.25,sgd,-0.2595589585662109
367,32,1500,elu,0.1,sgd,-0.25969796288780156
331,32,1500,relu,0.15,sgd,-0.25975977116179694
151,4,1500,softplus,0.15,sgd,-0.25976175639037313
363,32,1500,elu,0.05,sgd,-0.2597849231801639
323,32,1500,relu,0.05,sgd,-0.2597928180768964
179,8,1500,relu,0.25,sgd,-0.2598421948948483
114,4,1500,selu,0.2,rmsprop,-0.2598824996661987
259,16,1500,relu,0.25,sgd,-0.2600775630506183
251,16,1500,relu,0.15,sgd,-0.2601256010960351
106,4,1500,selu,0.1,rmsprop,-0.26026117098479795
255,16,1500,relu,0.2,sgd,-0.26037687329468623
391,32,1500,softplus,0.15,sgd,-0.26045165647693436
303,16,1500,softplus,0.05,sgd,-0.2604651756264414
379,32,1500,elu,0.25,sgd,-0.26057223694722836
196,8,1500,selu,0.25,adam,-0.2605956572845556
243,16,1500,relu,0.05,sgd,-0.2606521183980622
231,8,1500,softplus,0.15,sgd,-0.26071813945476274
327,32,1500,relu,0.1,sgd,-0.2610628943473716
375,32,1500,elu,0.2,sgd,-0.26125662720202586
44,2,1500,elu,0.1,adam,-0.2612877613431487
227,8,1500,softplus,0.1,sgd,-0.2613686590299832
319,16,1500,softplus,0.25,sgd,-0.26137876866520715
67,2,1500,softplus,0.1,sgd,-0.2614482251095699
140,4,1500,softplus,0.05,adam,-0.2617080851126906
79,2,1500,softplus,0.25,sgd,-0.26234656989916616
71,2,1500,softplus,0.15,sgd,-0.26273827105825437
30,2,1500,selu,0.15,rmsprop,-0.26275858088743315
63,2,1500,softplus,0.05,sgd,-0.2628468220145174
37,2,1500,selu,0.25,adamax,-0.26319317052426255
6,2,1500,relu,0.1,rmsprop,-0.263808112011862
28,2,1500,selu,0.15,adam,-0.26447656280020815
52,2,1500,elu,0.2,adam,-0.26664065134447423
235,8,1500,softplus,0.2,sgd,-0.26731993016671185
92,4,1500,relu,0.2,adam,-0.2744373420944229
104,4,1500,selu,0.1,adam,-0.27692483557438413
268,16,1500,selu,0.15,adam,-0.27900569729029223
112,4,1500,selu,0.2,adam,-0.28797897737795874
26,2,1500,selu,0.1,rmsprop,-0.2903853107990004
85,4,1500,relu,0.1,adamax,-0.29267711246222905
36,2,1500,selu,0.25,adam,-0.29391425217213013
244,16,1500,relu,0.1,adam,-0.29413334061960655
34,2,1500,selu,0.2,rmsprop,-0.3144325425990949
180,8,1500,selu,0.05,adam,-0.3209747478734131
116,4,1500,selu,0.25,adam,-0.3232373992479917
88,4,1500,relu,0.15,adam,-0.3235144104026517
188,8,1500,selu,0.15,adam,-0.3292048301494567
184,8,1500,selu,0.1,adam,-0.33218757367210994
24,2,1500,selu,0.1,adam,-0.33621632405886037
325,32,1500,relu,0.1,adamax,-0.35881459577473696
161,8,1500,relu,0.05,adamax,-0.4006973869608082
328,32,1500,relu,0.15,adam,-0.4053741358823738
321,32,1500,relu,0.05,adamax,-0.4113248856831322
22,2,1500,selu,0.05,rmsprop,-0.423857779933777
100,4,1500,selu,0.05,adam,-0.4251335372277728
172,8,1500,relu,0.2,adam,-0.4252000348285618
1,2,1500,relu,0.05,adamax,-0.4279110300928144
248,16,1500,relu,0.15,adam,-0.4309004135804688
32,2,1500,selu,0.2,adam,-0.4374195444545461
82,4,1500,relu,0.05,rmsprop,-0.4646300900161187
162,8,1500,relu,0.05,rmsprop,-0.47752250822948344
332,32,1500,relu,0.2,adam,-0.49321455461844216
241,16,1500,relu,0.05,adamax,-0.5381275517284498
80,4,1500,relu,0.05,adam,-0.5516786445409207
40,2,1500,elu,0.05,adam,-0.558246298699944
160,8,1500,relu,0.05,adam,-0.5710287214156968
81,4,1500,relu,0.05,adamax,-0.5752940718351642
324,32,1500,relu,0.1,adam,-0.6047975571250015
252,16,1500,relu,0.2,adam,-0.6556686405830932
256,16,1500,relu,0.25,adam,-0.8288720628413845
240,16,1500,relu,0.05,adam,-0.8449418289962501
320,32,1500,relu,0.05,adam,-1.5389187374611402
