acq_date,hotspot,soi_anom,soi_std,sst_anom,sst_std,oni_anom,oni_std
2001-01-31,0.0,0.68,0.6833333333333332,0.1925754060324826,0.18380743982494518,0.22429906542056072,0.20657276995305107
2001-02-28,0.00013856172925038105,0.8,0.7999999999999999,0.23897911832946633,0.2647702407002184,0.2616822429906542,0.295774647887324
2001-03-31,0.00048496605237633366,0.67,0.6666666666666666,0.28306264501160094,0.4135667396061269,0.2803738317757009,0.41314553990610303
2001-04-30,0.001177774698628239,0.55,0.5499999999999999,0.23897911832946633,0.49671772428883987,0.3037383177570093,0.528169014084507
2001-05-31,0.0024941111265068586,0.44,0.4333333333333333,0.26218097447795824,0.536105032822757,0.3247663551401869,0.5845070422535201
2001-06-30,0.0003464043231259526,0.5700000000000001,0.5666666666666667,0.33178654292343385,0.5645514223194752,0.35514018691588783,0.5798122065727691
2001-07-31,0.012886240820285437,0.49,0.4833333333333333,0.3433874709976798,0.4857768052516409,0.3644859813084112,0.516431924882629
2001-08-31,0.011639185257032008,0.45,0.44999999999999996,0.34802784222737815,0.40262582056892704,0.352803738317757,0.436619718309859
2001-09-30,0.009630040182901483,0.55,0.5499999999999999,0.3248259860788863,0.35229759299781094,0.338785046728972,0.3826291079812201
2001-10-31,0.001177774698628239,0.51,0.5166666666666666,0.31090487238979114,0.3391684901531731,0.31542056074766356,0.347417840375587
2001-11-30,0.0006928086462519053,0.63,0.6333333333333333,0.25754060324825984,0.3019693654266957,0.3014018691588785,0.32159624413145504
2001-12-31,6.928086462519052e-05,0.38,0.3833333333333333,0.2459396751740139,0.24945295404813983,0.3107476635514019,0.3075117370892011
2002-01-31,0.0015241790217541916,0.59,0.5833333333333333,0.3225058004640371,0.3041575492341355,0.34813084112149534,0.33802816901408494
2002-02-28,0.0006235277816267148,0.7000000000000001,0.7,0.3758700696055684,0.39168490153172897,0.3901869158878504,0.424882629107981
2002-03-31,0.00013856172925038105,0.48,0.4833333333333333,0.35498839907192575,0.4814004376367613,0.4042056074766355,0.537558685446009
2002-04-30,0.0007620895108770957,0.51,0.49999999999999994,0.3758700696055684,0.6280087527352292,0.42990654205607476,0.657276995305164
2002-05-31,0.0013163364278786199,0.38,0.3833333333333333,0.4129930394431554,0.6783369803063453,0.4836448598130841,0.7464788732394361
2002-06-30,0.005196064846889289,0.48,0.4833333333333333,0.5081206496519721,0.7308533916849012,0.5350467289719626,0.7605633802816891
2002-07-31,0.014341138977414437,0.44,0.4333333333333333,0.5034802784222737,0.6367614879649883,0.5677570093457944,0.7183098591549291
2002-08-31,0.2302895940141333,0.36,0.35,0.5220417633410672,0.5667396061269141,0.5841121495327103,0.669014084507042
2002-09-30,0.19578772343078843,0.42000000000000004,0.41666666666666663,0.5661252900232018,0.577680525164114,0.6191588785046729,0.6643192488262901
2002-10-31,0.2577940972703339,0.46,0.44999999999999996,0.605568445475638,0.6170678336980302,0.6658878504672897,0.697183098591549
2002-11-30,0.016211722322294585,0.45,0.4333333333333333,0.6473317865429233,0.669584245076587,0.6892523364485981,0.711267605633803
2002-12-31,0.0009699321047526674,0.33999999999999997,0.33333333333333326,0.6705336426914152,0.649890590809628,0.6495327102803738,0.647887323943662
2003-01-31,0.0009699321047526674,0.49,0.4833333333333333,0.5730858468677493,0.5426695842450764,0.5981308411214953,0.589201877934272
2003-02-28,6.928086462519052e-05,0.41000000000000003,0.39999999999999997,0.5197215777262181,0.5295404814004376,0.530373831775701,0.565727699530516
2003-03-31,0.0015934598863793822,0.47000000000000003,0.4666666666666666,0.4849187935034802,0.6039387308533914,0.4719626168224299,0.605633802816901
2003-04-30,0.0013163364278786199,0.5,0.49999999999999994,0.3364269141531322,0.5908096280087527,0.37383177570093457,0.60093896713615
2003-05-31,0.006789524733268671,0.47000000000000003,0.4666666666666666,0.2296983758700696,0.5054704595185999,0.32242990654205606,0.5821596244131451
2003-06-30,0.02355549397256478,0.42000000000000004,0.41666666666666663,0.2900232018561485,0.525164113785558,0.34579439252336447,0.568075117370892
2003-07-31,0.028751558819454067,0.5700000000000001,0.5666666666666667,0.3781902552204176,0.5185995623632387,0.40186915887850466,0.551643192488263
2003-08-31,0.10953304697242622,0.54,0.5333333333333333,0.3781902552204176,0.4310722100656452,0.43224299065420557,0.516431924882629
2003-09-30,0.10440626299016212,0.5,0.49999999999999994,0.4106728538283062,0.4310722100656452,0.4439252336448598,0.4882629107981211
2003-10-31,0.021199944575308303,0.52,0.5166666666666666,0.4663573085846867,0.4857768052516409,0.4509345794392523,0.48122065727699503
2003-11-30,0.0009006512401274769,0.47000000000000003,0.4666666666666666,0.4176334106728538,0.45076586433260424,0.46495327102803735,0.48591549295774605
2003-12-31,0.0006235277816267148,0.7000000000000001,0.7,0.4477958236658932,0.4398249452954044,0.46495327102803735,0.46244131455399007
2004-01-31,0.0006928086462519053,0.3,0.29999999999999993,0.41995359628770296,0.39606126914660855,0.46962616822429903,0.45774647887323905
2004-02-29,0.00020784259387557157,0.72,0.7166666666666666,0.40603248259860786,0.42231947483588606,0.455607476635514,0.4882629107981211
2004-03-31,0.0006928086462519053,0.59,0.5833333333333333,0.3271461716937355,0.4551422319474838,0.43691588785046725,0.5704225352112671
2004-04-30,0.0015934598863793822,0.37,0.3666666666666666,0.3596287703016241,0.6105032822757117,0.4228971962616822,0.647887323943662
2004-05-31,0.0022862685326312873,0.6900000000000001,0.6833333333333332,0.38515081206496515,0.6520787746170678,0.4228971962616822,0.6830985915492951
