batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
16,1500,softplus,0.1,adam,-0.21673213382021334
32,1500,selu,0.2,sgd,-0.21725582800081356
2,1500,softplus,0.05,adamax,-0.217358579117771
16,1500,softplus,0.2,adamax,-0.21767549496657412
32,1500,elu,0.25,adam,-0.21792346576707589
32,1500,selu,0.15,sgd,-0.21865879371606092
16,1500,elu,0.15,rmsprop,-0.21884614929937213
2,1500,selu,0.2,adam,-0.21903266577816208
8,1500,relu,0.1,sgd,-0.21920739135229722
16,1500,relu,0.2,adam,-0.21931074585161764
2,1500,softplus,0.1,adamax,-0.21963836934504388
8,1500,softplus,0.1,adamax,-0.21976728244538113
2,1500,relu,0.1,sgd,-0.2205599114119271
8,1500,relu,0.05,sgd,-0.22071415771649236
32,1500,softplus,0.1,rmsprop,-0.22128772607424818
4,1500,selu,0.25,adamax,-0.22136373271514823
8,1500,softplus,0.1,rmsprop,-0.22148874076973193
32,1500,softplus,0.1,adamax,-0.22189911166724854
4,1500,relu,0.2,sgd,-0.22217698478272752
2,1500,softplus,0.15,adam,-0.22269835019669998
4,1500,softplus,0.1,adam,-0.22301538260012974
32,1500,softplus,0.25,adam,-0.22375085166937042
2,1500,softplus,0.15,rmsprop,-0.22383761146138764
2,1500,relu,0.15,sgd,-0.22398541483584888
8,1500,softplus,0.15,adam,-0.22421572246747795
2,1500,softplus,0.2,rmsprop,-0.22459323646438548
16,1500,softplus,0.25,adamax,-0.22469660091180094
16,1500,softplus,0.15,adamax,-0.22474658489033114
32,1500,softplus,0.15,adamax,-0.22475160944658154
16,1500,elu,0.1,rmsprop,-0.22500012481305232
2,1500,softplus,0.2,adam,-0.22501681602236467
8,1500,softplus,0.2,rmsprop,-0.22524015323958985
4,1500,softplus,0.2,rmsprop,-0.22547568346006608
8,1500,relu,0.2,sgd,-0.22552546938481158
4,1500,softplus,0.1,rmsprop,-0.225619589662658
16,1500,softplus,0.15,rmsprop,-0.22607219398916428
2,1500,relu,0.2,adam,-0.22609691235240897
32,1500,relu,0.2,adamax,-0.22640178997198887
8,1500,softplus,0.05,adam,-0.22640870633977345
32,1500,elu,0.25,sgd,-0.22650476598685812
8,1500,softplus,0.05,rmsprop,-0.22659001186435165
4,1500,softplus,0.15,adamax,-0.22691001858238546
4,1500,relu,0.25,rmsprop,-0.22696778821175073
2,1500,relu,0.05,adam,-0.22743876014770578
4,1500,relu,0.25,adamax,-0.22760769861433994
32,1500,elu,0.1,sgd,-0.2281061831356569
32,1500,selu,0.05,rmsprop,-0.2283671878682147
32,1500,elu,0.15,sgd,-0.22871503644629168
2,1500,elu,0.2,adam,-0.22886123892160282
2,1500,softplus,0.25,rmsprop,-0.22890231811863984
4,1500,relu,0.1,rmsprop,-0.22927734151635007
16,1500,softplus,0.2,rmsprop,-0.22938221260129502
2,1500,softplus,0.05,adam,-0.22955086814114334
32,1500,softplus,0.15,rmsprop,-0.22981874090437848
4,1500,relu,0.15,adam,-0.22997317846924234
8,1500,softplus,0.15,rmsprop,-0.2300473148090103
32,1500,relu,0.25,rmsprop,-0.23023665436583887
16,1500,softplus,0.2,adam,-0.23025000452019956
2,1500,selu,0.15,adam,-0.23025436506899588
2,1500,relu,0.2,rmsprop,-0.23058820616985404
4,1500,softplus,0.15,rmsprop,-0.23065135546896537
8,1500,softplus,0.15,adamax,-0.2307001470455361
8,1500,relu,0.25,adamax,-0.23073130855236307
32,1500,elu,0.05,sgd,-0.2311616181584324
16,1500,relu,0.15,adamax,-0.23117561803701883
8,1500,relu,0.2,adamax,-0.2315999844785203
2,1500,relu,0.15,rmsprop,-0.23178056960455717
4,1500,softplus,0.25,rmsprop,-0.23179790080494667
32,1500,softplus,0.25,adamax,-0.23180103506427863
32,1500,softplus,0.2,adamax,-0.23199199014673305
2,1500,softplus,0.15,adamax,-0.2320318477124046
2,1500,softplus,0.25,adamax,-0.23208962880116119
4,1500,relu,0.15,rmsprop,-0.23211376948582868
16,1500,relu,0.15,rmsprop,-0.23213202476684036
4,1500,softplus,0.2,adamax,-0.232470156723581
2,1500,relu,0.25,adamax,-0.23261493187054708
16,1500,relu,0.2,adamax,-0.2326336619288052
2,1500,softplus,0.2,adamax,-0.23295513613894064
2,1500,softplus,0.25,adam,-0.2329990013301052
2,1500,relu,0.1,adam,-0.23304976639723674
2,1500,relu,0.25,sgd,-0.23317901566203608
8,1500,softplus,0.25,rmsprop,-0.23356215266412206
2,1500,elu,0.25,rmsprop,-0.23364279212158234
8,1500,relu,0.2,adam,-0.23382416354685298
4,1500,relu,0.2,rmsprop,-0.23397819825699942
8,1500,relu,0.25,rmsprop,-0.23398241283319332
32,1500,softplus,0.15,adam,-0.2343591840461962
32,1500,softplus,0.2,rmsprop,-0.23437259955205977
4,1500,relu,0.05,rmsprop,-0.2344530147781405
32,1500,elu,0.2,sgd,-0.23511922831015483
16,1500,softplus,0.25,rmsprop,-0.2351211041457439
4,1500,elu,0.25,adamax,-0.23531575563480492
2,1500,softplus,0.05,rmsprop,-0.23568363481191024
4,1500,selu,0.2,adam,-0.23576688445862726
2,1500,relu,0.15,adamax,-0.23603949899913965
2,1500,relu,0.1,rmsprop,-0.23609425286942082
16,1500,relu,0.25,rmsprop,-0.23634349824252776
4,1500,softplus,0.25,adamax,-0.2363763275420797
4,1500,softplus,0.25,adam,-0.23643980083276211
4,1500,elu,0.05,adam,-0.23803870448483203
2,1500,elu,0.1,rmsprop,-0.23813080911892975
2,1500,relu,0.25,rmsprop,-0.23823865038024775
2,1500,softplus,0.1,rmsprop,-0.2385363674178601
4,1500,selu,0.25,rmsprop,-0.23928908121446527
2,1500,elu,0.05,adam,-0.23929492533487198
2,1500,elu,0.1,adamax,-0.23937277195816475
2,1500,relu,0.25,adam,-0.2394960493314185
4,1500,softplus,0.2,adam,-0.2398704088408697
2,1500,selu,0.25,adam,-0.2402352291252667
2,1500,relu,0.1,adamax,-0.240516767449246
16,1500,relu,0.1,sgd,-0.24072034135968318
2,1500,relu,0.05,adamax,-0.24078427619126125
32,1500,softplus,0.25,rmsprop,-0.24080233992057506
8,1500,relu,0.25,sgd,-0.24185618822166377
2,1500,elu,0.25,adamax,-0.2419744165961586
8,1500,softplus,0.25,adamax,-0.2421704197235329
8,1500,relu,0.1,rmsprop,-0.24250240536844786
8,1500,relu,0.05,rmsprop,-0.24332801814879212
2,1500,selu,0.15,rmsprop,-0.24363350904347197
16,1500,relu,0.05,sgd,-0.24405822300764074
2,1500,elu,0.25,adam,-0.24575265162010804
2,1500,elu,0.05,rmsprop,-0.2458819694063403
4,1500,selu,0.05,adam,-0.2460273763816167
2,1500,selu,0.1,adam,-0.24629023719363907
4,1500,selu,0.25,adam,-0.24634934944055037
16,1500,relu,0.2,sgd,-0.24674814301619624
4,1500,relu,0.2,adamax,-0.2473284630496832
4,1500,relu,0.2,adam,-0.24783999745100793
4,1500,relu,0.1,adam,-0.2478994889901587
16,1500,softplus,0.25,adam,-0.2480018841298584
16,1500,relu,0.15,sgd,-0.24826345055126323
16,1500,softplus,0.1,rmsprop,-0.2485737562865274
2,1500,selu,0.05,rmsprop,-0.2489389054302256
16,1500,selu,0.2,adamax,-0.24930348492972165
8,1500,selu,0.05,adamax,-0.24951969607659247
16,1500,relu,0.25,sgd,-0.24983084381536336
32,1500,relu,0.15,sgd,-0.2504419004611197
2,1500,elu,0.1,adam,-0.2505551550771042
2,1500,relu,0.15,adam,-0.2506895733129658
8,1500,selu,0.15,rmsprop,-0.25091445322649175
4,1500,elu,0.15,adam,-0.2510103890015189
2,1500,relu,0.05,sgd,-0.25165510540369734
8,1500,selu,0.15,adamax,-0.2517512480741398
4,1500,elu,0.1,adamax,-0.25176105991494363
8,1500,softplus,0.2,adam,-0.2524051793104559
2,1500,selu,0.25,rmsprop,-0.2526540878100782
32,1500,relu,0.05,sgd,-0.25276565483866037
2,1500,selu,0.2,rmsprop,-0.252987968395136
8,1500,selu,0.2,adamax,-0.25315767991691795
16,1500,softplus,0.15,sgd,-0.25328154726193064
4,1500,relu,0.05,adam,-0.2541435576062109
32,1500,relu,0.15,adam,-0.2543030781482313
2,1500,softplus,0.15,sgd,-0.25486741993123607
32,1500,relu,0.25,sgd,-0.25506017981478185
8,1500,relu,0.2,rmsprop,-0.25549630827408143
4,1500,elu,0.25,adam,-0.25597415067634166
32,1500,relu,0.1,sgd,-0.2564351035900914
2,1500,elu,0.2,adamax,-0.256722201205342
2,1500,selu,0.1,rmsprop,-0.2567370101373417
4,1500,elu,0.2,adam,-0.2568620574299418
32,1500,relu,0.2,rmsprop,-0.25691474084591615
